date,group,sensor,frame,frame_index,group_frame_count,actual_bytes,expected_bytes,index_path,pack_path
20260615,group_025,dpct高位机,1781513070_755345720.bin,614,1002,0,1048576,/mnt/ssd/Huawei/20260615/data_collection/group_025/dpct高位机/Bin/frames_index.npz,/mnt/ssd/Huawei/20260615/data_collection/group_025/dpct高位机/Bin/frames.binpack
20260615,group_025,dpct高位机,1781513070_855336764.bin,615,1002,0,1048576,/mnt/ssd/Huawei/20260615/data_collection/group_025/dpct高位机/Bin/frames_index.npz,/mnt/ssd/Huawei/20260615/data_collection/group_025/dpct高位机/Bin/frames.binpack
20260615,group_025,dpct高位机,1781513070_961634626.bin,616,1002,0,1048576,/mnt/ssd/Huawei/20260615/data_collection/group_025/dpct高位机/Bin/frames_index.npz,/mnt/ssd/Huawei/20260615/data_collection/group_025/dpct高位机/Bin/frames.binpack
20260615,group_025,dpct高位机,1781513071_055410180.bin,617,1002,0,1048576,/mnt/ssd/Huawei/20260615/data_collection/group_025/dpct高位机/Bin/frames_index.npz,/mnt/ssd/Huawei/20260615/data_collection/group_025/dpct高位机/Bin/frames.binpack
20260615,group_025,dpct高位机,1781513071_155356519.bin,618,1002,0,1048576,/mnt/ssd/Huawei/20260615/data_collection/group_025/dpct高位机/Bin/frames_index.npz,/mnt/ssd/Huawei/20260615/data_collection/group_025/dpct高位机/Bin/frames.binpack
20260615,group_025,dpct高位机,1781513071_255365995.bin,619,1002,0,1048576,/mnt/ssd/Huawei/20260615/data_collection/group_025/dpct高位机/Bin/frames_index.npz,/mnt/ssd/Huawei/20260615/data_collection/group_025/dpct高位机/Bin/frames.binpack
20260615,group_025,dpct高位机,1781513071_355358158.bin,620,1002,0,1048576,/mnt/ssd/Huawei/20260615/data_collection/group_025/dpct高位机/Bin/frames_index.npz,/mnt/ssd/Huawei/20260615/data_collection/group_025/dpct高位机/Bin/frames.binpack
20260615,group_025,dpct高位机,1781513071_455356978.bin,621,1002,0,1048576,/mnt/ssd/Huawei/20260615/data_collection/group_025/dpct高位机/Bin/frames_index.npz,/mnt/ssd/Huawei/20260615/data_collection/group_025/dpct高位机/Bin/frames.binpack
20260615,group_025,dpct高位机,1781513071_555330932.bin,622,1002,0,1048576,/mnt/ssd/Huawei/20260615/data_collection/group_025/dpct高位机/Bin/frames_index.npz,/mnt/ssd/Huawei/20260615/data_collection/group_025/dpct高位机/Bin/frames.binpack
20260615,group_025,dpct高位机,1781513071_655333496.bin,623,1002,0,1048576,/mnt/ssd/Huawei/20260615/data_collection/group_025/dpct高位机/Bin/frames_index.npz,/mnt/ssd/Huawei/20260615/data_collection/group_025/dpct高位机/Bin/frames.binpack
20260615,group_025,dpct高位机,1781513071_755358140.bin,624,1002,0,1048576,/mnt/ssd/Huawei/20260615/data_collection/group_025/dpct高位机/Bin/frames_index.npz,/mnt/ssd/Huawei/20260615/data_collection/group_025/dpct高位机/Bin/frames.binpack
20260615,group_025,dpct高位机,1781513071_855417634.bin,625,1002,0,1048576,/mnt/ssd/Huawei/20260615/data_collection/group_025/dpct高位机/Bin/frames_index.npz,/mnt/ssd/Huawei/20260615/data_collection/group_025/dpct高位机/Bin/frames.binpack
20260615,group_025,dpct高位机,1781513071_955296226.bin,626,1002,0,1048576,/mnt/ssd/Huawei/20260615/data_collection/group_025/dpct高位机/Bin/frames_index.npz,/mnt/ssd/Huawei/20260615/data_collection/group_025/dpct高位机/Bin/frames.binpack
20260615,group_025,dpct高位机,1781513072_055319270.bin,627,1002,0,1048576,/mnt/ssd/Huawei/20260615/data_collection/group_025/dpct高位机/Bin/frames_index.npz,/mnt/ssd/Huawei/20260615/data_collection/group_025/dpct高位机/Bin/frames.binpack
20260615,group_025,dpct高位机,1781513072_155323146.bin,628,1002,0,1048576,/mnt/ssd/Huawei/20260615/data_collection/group_025/dpct高位机/Bin/frames_index.npz,/mnt/ssd/Huawei/20260615/data_collection/group_025/dpct高位机/Bin/frames.binpack
20260615,group_025,dpct高位机,1781513072_255355631.bin,629,1002,0,1048576,/mnt/ssd/Huawei/20260615/data_collection/group_025/dpct高位机/Bin/frames_index.npz,/mnt/ssd/Huawei/20260615/data_collection/group_025/dpct高位机/Bin/frames.binpack
20260615,group_025,dpct高位机,1781513072_355317841.bin,630,1002,0,1048576,/mnt/ssd/Huawei/20260615/data_collection/group_025/dpct高位机/Bin/frames_index.npz,/mnt/ssd/Huawei/20260615/data_collection/group_025/dpct高位机/Bin/frames.binpack
20260615,group_025,dpct高位机,1781513072_455320757.bin,631,1002,0,1048576,/mnt/ssd/Huawei/20260615/data_collection/group_025/dpct高位机/Bin/frames_index.npz,/mnt/ssd/Huawei/20260615/data_collection/group_025/dpct高位机/Bin/frames.binpack
20260615,group_025,dpct高位机,1781513072_555334041.bin,632,1002,0,1048576,/mnt/ssd/Huawei/20260615/data_collection/group_025/dpct高位机/Bin/frames_index.npz,/mnt/ssd/Huawei/20260615/data_collection/group_025/dpct高位机/Bin/frames.binpack
20260615,group_025,dpct高位机,1781513072_655304636.bin,633,1002,0,1048576,/mnt/ssd/Huawei/20260615/data_collection/group_025/dpct高位机/Bin/frames_index.npz,/mnt/ssd/Huawei/20260615/data_collection/group_025/dpct高位机/Bin/frames.binpack
20260615,group_025,dpct高位机,1781513072_755315488.bin,634,1002,0,1048576,/mnt/ssd/Huawei/20260615/data_collection/group_025/dpct高位机/Bin/frames_index.npz,/mnt/ssd/Huawei/20260615/data_collection/group_025/dpct高位机/Bin/frames.binpack
20260615,group_025,dpct高位机,1781513072_855346469.bin,635,1002,0,1048576,/mnt/ssd/Huawei/20260615/data_collection/group_025/dpct高位机/Bin/frames_index.npz,/mnt/ssd/Huawei/20260615/data_collection/group_025/dpct高位机/Bin/frames.binpack
20260615,group_025,dpct高位机,1781513072_955319688.bin,636,1002,0,1048576,/mnt/ssd/Huawei/20260615/data_collection/group_025/dpct高位机/Bin/frames_index.npz,/mnt/ssd/Huawei/20260615/data_collection/group_025/dpct高位机/Bin/frames.binpack
20260615,group_025,dpct高位机,1781513073_055419470.bin,637,1002,0,1048576,/mnt/ssd/Huawei/20260615/data_collection/group_025/dpct高位机/Bin/frames_index.npz,/mnt/ssd/Huawei/20260615/data_collection/group_025/dpct高位机/Bin/frames.binpack
